"filename", "language", "C#", "comment", "blank", "total"
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizListUI.cs", "C#", 37, 0, 3, 40
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\QuizUI.cs", "C#", 97, 1, 13, 111
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\ResultUI.cs", "C#", 45, 1, 9, 55
"g:\Kepler\Kepler\Assets\Scripts\UI\Quiz\VarLineUI.cs", "C#", 215, 2, 22, 239
"g:\Kepler\Kepler\Assets\Scripts\UI\SatelliteControllerUI.cs", "C#", 41, 0, 14, 55
"g:\Kepler\Kepler\Assets\Scripts\UI\SelectorUI.cs", "C#", 78, 12, 10, 100
"g:\Kepler\Kepler\Assets\Scripts\UI\StarStyleSettingUI.cs", "C#", 17, 0, 4, 21
"g:\Kepler\Kepler\Assets\Scripts\UI\TutorialUI.cs", "C#", 35, 0, 7, 42
"g:\Kepler\Kepler\Assets\Scripts\UI\UIManager.cs", "C#", 7, 0, 1, 8
"g:\Kepler\Kepler\Assets\Scripts\UI\VectorUI.cs", "C#", 69, 3, 13, 85
"g:\Kepler\Kepler\Assets\Scripts\UI\VelocityEditorUI.cs", "C#", 60, 4, 13, 77
"Total", "-", 4399, 361, 888, 5648
